candidate_webname,state_postal,cd,cand_party,year,web_score,FECCandID,bioguide_id
Mark Baker,GA,13,Democrat,2022,NA,H2GA13087,NA
Shastity Driscoll,GA,13,Democrat,2022,-0.701938574,H2GA13129,NA
Vincent Fort,GA,13,Democrat,2022,-0.839423558,H2GA13103,NA
Steven Lamar Foster,GA,14,Democrat,2018,-0.470929848,H8GA14025,NA
Tom Graves,GA,14,Republican,2018,0.729887834,H0GA09030,G000560
John D. Barge,GA,14,Republican,2020,1.457544068,H0GA14089,NA
Benjamin E. Bullock,GA,14,Republican,2020,1.039414081,H0GA07257,NA
Kevin Cooke,GA,14,Republican,2020,1.91527452,H0GA14071,NA
John Cowan,GA,14,Republican,2020,1.306116163,H0GA14048,NA
Clayton Fuller,GA,14,Republican,2020,1.150600626,H0GA14030,NA
Majorie Taylor Greene,GA,14,Republican,2020,1.681066797,H0GA06192,G000596
Andreas Gunther,GA,14,Republican,2020,0.828346009,H0GA14121,NA
Bill Hembree,GA,14,Republican,2020,0.565777049,H0GA14105,NA
Matthew Laughridge,GA,14,Republican,2020,NA,H0GA14113,NA
Kevin Van Ausdal,GA,14,Democrat,2020,-0.494579121,H0GA14097,NA
Charles Lutin,GA,14,Republican,2022,0.388671496,H2GA14101,NA
Eric Cunningham,GA,14,Republican,2022,1.565519736,H2GA14119,NA
Holly McCormack,GA,14,Democrat,2022,-0.696099193,H2GA14051,NA
James Haygood,GA,14,Republican,2022,1.852040594,H2GA14135,NA
Jennifer Strahan,GA,14,Republican,2022,0.418888822,H2GA14093,NA
Majorie Taylor Greene,GA,14,Republican,2022,1.635040641,H0GA06192,G000596
Marcus Flowers,GA,14,Democrat,2022,-0.422895462,H2GA14044,NA
Seth Synstelien,GA,14,Republican,2022,0.320973302,H2GA14143,NA
Wendy Davis,GA,14,Democrat,2022,-0.420928135,H2GA14077,NA
Sanford Bishop,GA,2,Democrat,2018,-0.170990856,H2GA02031,B000490
Herman West,GA,2,Republican,2018,0.329488117,H8GA02087,NA
Sanford Bishop,GA,2,Democrat,2020,-0.245541107,H2GA02031,B000490
Vivian L Childs,GA,2,Republican,2020,NA,H4GA02078,NA
Donald Eugene Cole,GA,2,Republican,2020,NA,H0GA02258,NA
Chris West,GA,2,Republican,2022,NA,H2GA02155,NA
Jeremy Hunt,GA,2,Republican,2022,1.338750489,H2GA02189,NA
Joe O'Hara,GA,2,Democrat,2022,-0.375028293,H2GA02148,NA
Paul Whitehead,GA,2,Republican,2022,NA,H2GA02197,NA
Rich Robertson,GA,2,Republican,2022,0.487277537,H2GA02171,NA
Sanford Bishop,GA,2,Democrat,2022,-0.185977943,H2GA02031,B000490
Vivian L Childs,GA,2,Republican,2022,0.876501699,H4GA02078,NA
Wayne Johnson,GA,2,Republican,2022,NA,H2GA02163,NA
Chuck Enderlin,GA,3,Democrat,2018,-0.577542831,H8GA03051,NA
Drew Ferguson,GA,3,Republican,2018,1.200780788,H6GA03113,F000465
Rusty Oliver,GA,3,Democrat,2018,-0.201446961,H8GA03069,NA
Philip Singleton,GA,3,Republican,2018,1.289698604,H8GA03044,NA
Val Almonord,GA,3,Democrat,2020,-0.755985703,H0GA03074,NA
Drew Ferguson,GA,3,Republican,2020,1.062110864,H6GA03113,F000465
Drew Ferguson,GA,3,Republican,2022,0.975604118,H6GA03113,F000465
Jared Craig,GA,3,Republican,2022,0.889046695,H2GA03179,NA
Val Almonord,GA,3,Democrat,2022,-0.983025752,H0GA03074,NA
Henry C Johnson Jr,GA,4,Democrat,2018,-0.470714679,H6GA04129,J000288
Juan Parks,GA,4,Democrat,2018,-0.375532228,H8GA04117,NA
Joe Profit,GA,4,Republican,2018,0.68846432,H8GA04125,NA
Johsie Cruz Ezammudeen,GA,4,Republican,2020,NA,H0GA04148,NA
William Haston,GA,4,Democrat,2020,-0.823520316,H0GA04130,NA
Henry C Johnson Jr,GA,4,Democrat,2020,-0.458227672,H6GA04129,J000288
Elaine Amankwah Nietmann,GA,4,Democrat,2020,-0.300312515,H0GA04114,NA
Henry C Johnson Jr,GA,4,Democrat,2022,-0.444018764,H6GA04129,J000288
Jonathan Chavez,GA,4,Republican,2022,-0.033293412,H2GA04201,NA
Surrea Ivy,GA,4,Republican,2022,0.453330649,H2GA04193,NA
John Lewis,GA,5,Democrat,2018,-0.946379731,H6GA05217,L000287
John Lewis,GA,5,Democrat,2020,-0.960663863,H6GA05217,NA
Barrington D. II Martin,GA,5,Democrat,2020,-0.474234141,H0GA05251,NA
Angela Stanton-King,GA,5,Republican,2020,NA,H0GA05277,NA
Charlotte Macbagito,GA,5,Democrat,2022,-0.234097522,NA,NA
Christian Zimm,GA,5,Republican,2022,-0.402406608,H2GA05166,NA
Nikema Williams,GA,5,Democrat,2022,-1.069583636,H0GA05301,W000788
Valencia Stovall,GA,5,Democrat,2022,-1.381636672,H2GA05174,NA
Kevin Abel,GA,6,Democrat,2018,-0.463042725,H8GA06377,NA
Steven Knight Griffin,GA,6,Democrat,2018,NA,H8GA06401,NA
Karen Handel,GA,6,Republican,2018,0.964108872,H8GA06286,NA
Bobby Kaple,GA,6,Democrat,2018,-0.805284972,H8GA06369,NA
Lucy McBath,GA,6,Democrat,2018,-0.888705255,H8GA06393,M001208
Mykel Lynn Barthelemy,GA,6,Republican,2020,NA,H0GA06218,NA
Karen Handel,GA,6,Republican,2020,0.797551121,H8GA06286,NA
Blake Harbin,GA,6,Republican,2020,0.268153225,H0GA06200,NA
Lucy McBath,GA,6,Democrat,2020,-0.981564015,H8GA06393,M001208
Joe Profit,GA,6,Republican,2020,-0.028733122,H8GA04125,NA
Paulette Smith,GA,6,Republican,2020,NA,H0GA06226,NA
Blake Harbin,GA,6,Republican,2022,1.181772833,H0GA06200,NA
Bob Christian,GA,6,Democrat,2022,-0.348106955,H2GA06222,NA
Byron Gatewood,GA,6,Republican,2022,1.494198196,H2GA06198,NA
Eugene Yu,GA,6,Republican,2022,0.842471523,H4GA12051,NA
Jake Evans,GA,6,Republican,2022,1.473380655,H2GA06164,NA
Mallory Staples,GA,6,Republican,2022,0.944986172,H2GA06156,NA
Meagan Hanson,GA,6,Republican,2022,1.081476077,H2GA06172,NA
Paulette Smith,GA,6,Republican,2022,0.591364868,H0GA06226,NA
Rich McCormick,GA,6,Republican,2022,1.077697677,H0GA07273,M001218
Suzi Voyles,GA,6,Republican,2022,1.339796668,H2GA06180,NA
Wayne C White,GA,6,Democrat,2022,0.196797034,H2GA06214,NA
Kathleen Allen,GA,7,Democrat,2018,-0.566343432,H8GA07144,NA
Carolyn Bourdeaux,GA,7,Democrat,2018,-0.858498892,H8GA07201,NA
Melissa Davis,GA,7,Democrat,2018,-0.471967104,H8GA07185,NA
Shane Hazel,GA,7,Republican,2018,NA,H8GA07193,NA
David Kim,GA,7,Democrat,2018,-0.183100693,H8GA07151,NA
Ethan Pham,GA,7,Democrat,2018,-0.535437822,H8GA07177,NA
Steve Reilly,GA,7,Democrat,2018,-0.296414123,H8GA07169,NA
Rob Woodall,GA,7,Republican,2018,1.143218902,H0GA07133,W000810
Lisa Noel Babbage,GA,7,Republican,2020,NA,H0GA07307,NA
Carolyn Bourdeaux,GA,7,Democrat,2020,-1.215407077,H8GA07201,B001312
John H. Eaves,GA,7,Democrat,2020,-1.102040981,H0GA07216,NA
Mark Gonsalves,GA,7,Republican,2020,1.312701178,H0GA07232,NA
Lynne Homrich,GA,7,Republican,2020,1.001309589,H0GA07224,NA
Nabilah Aishah Islam,GA,7,Democrat,2020,-1.119253645,H0GA07208,NA
Zahra S. Karinshak,GA,7,Democrat,2020,NA,H0GA07323,NA
Zachary Heathcliff Kennemore,GA,7,Republican,2020,-0.952039765,H0GA07331,NA
Brenda Lopez Romero,GA,7,Democrat,2020,-0.772606121,H0GA07281,NA
Rashid Malik,GA,7,Democrat,2020,-0.94067274,H6GA07155,NA
Rich McCormick,GA,7,Republican,2020,0.765358896,H0GA07273,NA
Renee Unterman,GA,7,Republican,2020,1.258680142,H0GA07299,NA
Eugene Yu,GA,7,Republican,2020,0.728883621,H4GA12051,NA
Carolyn Bourdeaux,GA,7,Democrat,2022,-0.978719506,H8GA07201,NA
Donna McLeaod,GA,7,Democrat,2022,-0.830287459,H2GA07147,NA
Lisa McCoy,GA,7,Republican,2022,0.406354255,H2GA07162,NA
Lucy McBath,GA,7,Democrat,2022,-1.109214758,H8GA06393,M001208
Mark Gonsalves,GA,7,Republican,2022,0.923395695,H2GA07154,NA
Mary West,GA,7,Republican,2022,0.199477653,H2GA10232,NA
Michael Corbin,GA,7,Republican,2022,1.13181423,H2GA07121,NA
YG Nyghtstorm,GA,7,Republican,2022,0.881168592,H2GA07139,NA
Austin Scott,GA,8,Republican,2018,0.83740557,H0GA08099,S001189
Vance Dean,GA,8,Republican,2020,NA,H0GA08107,NA
Daniel Ellyson,GA,8,Republican,2020,-0.061305934,H8GA08092,NA
Lindsay Dozier Holliday,GA,8,Democrat,2020,NA,H0GA08115,NA
Austin Scott,GA,8,Republican,2020,0.565077261,H0GA08099,S001189
Austin Scott,GA,8,Republican,2022,0.597530707,H0GA08099,S001189
Darrius Butler,GA,8,Democrat,2022,-0.791722722,H2GA08095,NA
Doug Collins,GA,9,Republican,2018,0.907774893,H2GA09150,C001093
Dave Cooper,GA,9,Democrat,2018,-0.282150378,H8GA09066,NA
Josh McCall,GA,9,Democrat,2018,-0.115742375,H8GA09058,NA
Michael Boggus,GA,9,Republican,2020,NA,H0GA09196,NA
Paul Broun,GA,9,Republican,2020,1.113905706,H6GA09243,NA
Andrew Clyde,GA,9,Republican,2020,1.901333988,H0GA09246,C001116
Matt Gurtler,GA,9,Republican,2020,1.298366072,H0GA09220,NA
Devin D. Pandy,GA,9,Democrat,2020,-0.071226758,H0GA09170,NA
Brooke Siskin,GA,9,Democrat,2020,NA,H0GA09287,NA
Maria Strickland,GA,9,Republican,2020,1.185414558,H0GA09261,NA
Kevin Tanner,GA,9,Republican,2020,2.130806166,H0GA09204,NA
Ethan Underwood,GA,9,Republican,2020,0.799759624,H0GA09238,NA
Kellie Weeks,GA,9,Republican,2020,-0.092274546,H0GA09279,NA
John Wilkinson,GA,9,Republican,2020,NA,H0GA09212,NA
Dan Carroll Wilson,GA,9,Democrat,2020,0.134300612,H0GA09162,NA
Andrew Clyde,GA,9,Republican,2022,1.31785183,H0GA09246,C001116
Ben Souther,GA,9,Republican,2022,1.576086306,H2GA09226,NA
Gregory Howard,GA,9,Republican,2022,0.229692045,H2GA09242,NA
John London,GA,9,Republican,2022,NA,H2GA09259,NA
Michael Boggus,GA,9,Republican,2022,NA,H0GA09196,NA
Michael Ford,GA,9,Democrat,2022,NA,H2GA09234,NA
Ed Case,HI,1,Democrat,2018,-0.130390184,H2HI02128,C001055
Cam Cavasso,HI,1,Republican,2018,1.284199799,H8HI00012,NA
Doug Chin,HI,1,Democrat,2018,-0.939059372,H8HI01200,NA
Beth Fukumoto,HI,1,Democrat,2018,-0.61279654,H8HI01226,NA
Kaniela Ing,HI,1,Democrat,2018,-1.014545408,H8HI01192,NA
Donna Kim,HI,1,Democrat,2018,-0.584345631,H4HI01167,NA
Ernest Martin,HI,1,Democrat,2018,-0.84897258,H8HI01218,NA
Sam Puletasi,HI,1,Democrat,2018,NA,H6HI01246,NA
Raymond Vinole,HI,1,Republican,2018,NA,H8HI01259,NA
Ed Case,HI,1,Democrat,2020,-0.369138708,H2HI02128,C001055
Ron Curtis,HI,1,Republican,2020,0.722471773,H0HI01298,NA
James Dickens,HI,1,Republican,2020,NA,H0HI01306,NA
Nancy Lynn Olson,HI,1,Republican,2020,NA,H0HI01280,NA
Art Reyes,HI,1,Republican,2020,NA,H2HI02144,NA
Taylor J. Smith,HI,1,Republican,2020,NA,NA,NA
Art Reyes,HI,1,Republican,2022,NA,H2HI02144,NA
Conrad Kress,HI,1,Republican,2022,0.051581172,H2HI02557,NA
Ed Case,HI,1,Democrat,2022,-0.42946739,H2HI02128,C001055
Patrick Largey,HI,1,Republican,2022,NA,H2HI01120,NA
Sergio Alcubilla,HI,1,Democrat,2022,-0.92464981,H2HI01112,NA
Sherry Alu Campagna,HI,2,Democrat,2018,-0.862176365,H8HI02133,NA
Anthony Austin,HI,2,Democrat,2018,NA,H8HI02158,NA
Brian Evans,HI,2,Republican,2018,-0.074763871,H8HI02141,NA
Tulsi Gabbard,HI,2,Democrat,2018,-0.400620913,H2HI02508,G000571
Joe Akana,HI,2,Republican,2020,-0.832209739,H0HI02213,NA
Steven R. Bond,HI,2,Republican,2020,NA,H0HI02288,NA
Brian Evans,HI,2,Democrat,2020,NA,H8HI02141,NA
Ashley Noelle Famera,HI,2,Democrat,2020,-1.024032512,H0HI02189,NA
Karla Gottschalk,HI,2,Republican,2020,NA,H0HI02296,NA
David R. Hamman,HI,2,Republican,2020,NA,H0HI02239,NA
Kaial'i Kahele,HI,2,Democrat,2020,-0.803451308,H0HI02155,K000396
Elise Hatsuko Kaneshiro,HI,2,Republican,2020,NA,H0HI02221,NA
Brenda L. Machado Lee,HI,2,Democrat,2020,NA,H0HI02270,NA
Nicholas T. Love,HI,2,Republican,2020,NA,H0HI02304,NA
Robert K. Nagamine,HI,2,Republican,2020,NA,H0HI02254,NA
Raymond S. Quel,HI,2,Republican,2020,NA,H0HI02312,NA
Felipe C. San Nicolas,HI,2,Republican,2020,NA,H0HI02320,NA
Brendan Schultz,HI,2,Democrat,2022,-0.969045417,H2HI02615,NA
Jill Tokuda,HI,2,Democrat,2022,-0.948041353,H2HI02581,T000487
Joe Akana,HI,2,Republican,2022,0.379604534,H0HI02213,NA
Joe Webster,HI,2,Republican,2022,NA,H2HI02607,NA
Kyle Yoshida,HI,2,Democrat,2022,-1.324174764,NA,NA
Nicole Gi,HI,2,Democrat,2022,-0.625080806,H2HI02623,NA
Patrick Branco,HI,2,Democrat,2022,-0.457000185,H2HI02599,NA
Steven Sparks,HI,2,Democrat,2022,-0.541060675,NA,NA
Rod Blum,IA,1,Republican,2018,0.256835363,H2IA01055,NA
Abby Finkenauer,IA,1,Democrat,2018,-0.99119937,H8IA01094,F000467
Thomas Heckroth,IA,1,Democrat,2018,-0.840206654,H8IA01128,NA
George Ramsey,IA,1,Democrat,2018,-0.290206239,H8IA01110,NA
Courtney Rowe,IA,1,Democrat,2018,-0.917531466,H8IA01102,NA
Abby Finkenauer,IA,1,Democrat,2020,-0.850666977,H8IA01094,NA
Thomas Hansen,IA,1,Republican,2020,0.694637258,H0IA01182,NA
Ashley Hinson,IA,1,Republican,2020,0.147819091,H0IA01174,H001091
Christina Bohannan,IA,1,Democrat,2022,NA,H2IA02111,NA
Mariannette Miller-Meeks,IA,1,Republican,2022,0.584508416,H8IA02043,M001215
Ginny Caligiuri,IA,2,Republican,2018,NA,H8IA02084,NA
Dave Loebsack,IA,2,Democrat,2018,-0.670197459,H6IA02146,L000565
Christopher Peters,IA,2,Republican,2018,-0.031577855,H6IA02161,NA
Tim Borchardt,IA,2,Republican,2020,0.311270649,H0IA02222,NA
Steven Everly,IA,2,Republican,2020,0.942316753,H0IA02206,NA
Rita Hart,IA,2,Democrat,2020,NA,H0IA02156,NA
Mariannette Miller-Meeks,IA,2,Republican,2020,0.577954052,H8IA02043,M001215
Ricky Lee Phillips,IA,2,Republican,2020,NA,H0IA02198,NA
Bobby Schilling,IA,2,Republican,2020,1.486245818,H0IA02164,NA
Ashley Hinson,IA,2,Republican,2022,0.601487631,H0IA01174,H001091
Liz Mathis,IA,2,Democrat,2022,-0.7967946,H2IA01089,NA
Cindy Axne,IA,3,Democrat,2018,-1.033189165,H8IA03124,A000378
Pete D'Alessandro,IA,3,Democrat,2018,NA,H8IA03173,NA
Eddie Mauro,IA,3,Democrat,2018,-0.769347607,H8IA03181,NA
David Young,IA,3,Republican,2018,0.68596455,H4IA03115,NA
Cindy Axne,IA,3,Democrat,2020,-0.898130027,H8IA03124,A000378
Bill Schafer,IA,3,Republican,2020,1.091229581,H0IA03204,NA
David Young,IA,3,Republican,2020,NA,H4IA03115,NA
Cindy Axne,IA,3,Democrat,2022,-0.922359528,H8IA03124,NA
Gary Leffler,IA,3,Republican,2022,1.028458305,H2IA03127,NA
Nicole Hasso,IA,3,Republican,2022,NA,H2IA03101,NA
Zach Nunn,IA,3,Republican,2022,1.192597629,H2IA03119,N000193
Cyndi Hanson,IA,4,Republican,2018,0.430871814,H8IA04148,NA
Leann Jacobsen,IA,4,Democrat,2018,-0.492926166,H8IA04114,NA
Steve King,IA,4,Republican,2018,0.987060415,H2IA05072,K000362
John Paschen,IA,4,Democrat,2018,NA,H8IA04122,NA
JD Scholten,IA,4,Democrat,2018,-0.72436555,H8IA04106,NA
Randy Feenstra,IA,4,Republican,2020,1.220266414,H0IA04145,F000446
Steve King,IA,4,Republican,2020,1.128940263,H2IA05072,NA
Steven Reeder,IA,4,Republican,2020,0.586123578,H0IA04152,NA
Bret Richards,IA,4,Republican,2020,0.711785066,H0IA04129,NA
JD Scholten,IA,4,Democrat,2020,NA,H8IA04106,NA
Jeremy Taylor,IA,4,Republican,2020,1.482271236,H0IA04137,NA
Randy Feenstra,IA,4,Republican,2022,1.520312141,H0IA04145,F000446
Ryan Melton,IA,4,Democrat,2022,-0.909066945,H2IA04141,NA
Russ Fulcher,ID,1,Republican,2018,0.933770319,H8ID01124,F000469
Alex Gallegos,ID,1,Republican,2018,0.438990917,H8ID01181,NA
Nick Henderson,ID,1,Republican,2018,0.758381054,H8ID01157,NA
David Leroy,ID,1,Republican,2018,1.464920771,H4ID01065,NA
Luke Malek,ID,1,Republican,2018,0.669421479,H8ID01140,NA
Cristina McNeil,ID,1,Democrat,2018,-0.874051762,H8ID01215,NA
Christy Perry,ID,1,Republican,2018,0.749790525,H8ID01173,NA
Michael W Smith,ID,1,Democrat,2018,-0.402035682,H8ID01108,NA
Michael Snyder,ID,1,Republican,2018,0.937311811,H8ID01132,NA
James Vandermaas,ID,1,Democrat,2018,-0.139205025,H8ID01165,NA
Russ Fulcher,ID,1,Republican,2020,0.987137312,H8ID01124,F000469
Nicholas Jones,ID,1,Republican,2020,0.85274347,H0ID01303,NA
Staniela Nikolova,ID,1,Democrat,2020,-0.648683062,H6ID01276,NA
Rudy Soto,ID,1,Democrat,2020,-0.666929173,H0ID01311,NA
Kaylee Peterson,ID,1,Democrat,2022,-0.110933254,H2ID01192,NA
Russ Fulcher,ID,1,Republican,2022,0.717138034,H8ID01124,F000469
Peter Rickards,ID,2,Democrat,2018,NA,H6ID02126,NA
Mike Simpson,ID,2,Republican,2018,0.922014635,H8ID02064,S001148
Aaron Swisher,ID,2,Democrat,2018,0.001516643,H8ID02148,NA
Kevin Rhoades,ID,2,Republican,2020,NA,H0ID02129,NA
Mike Simpson,ID,2,Republican,2020,0.621302821,H8ID02064,S001148
Aaron Swisher,ID,2,Democrat,2020,-0.219362198,H8ID02148,NA
Bryan Smith,ID,2,Republican,2022,1.59701642,H4ID02063,NA
Chris Porter,ID,2,Republican,2022,NA,H2ID02232,NA
Daniel Algiers Lucas Levy,ID,2,Republican,2022,NA,H2ID02224,NA
Flint Christensen,ID,2,Republican,2022,0.535029755,H2ID02190,NA
Mike Simpson,ID,2,Republican,2022,0.377566587,H8ID02064,S001148
Wendy Norman,ID,2,Democrat,2022,-0.093048848,H2ID02216,NA
Bobby L Rush,IL,1,Democrat,2018,-0.595837101,H2IL01042,R000515
Jimmy Lee Tillman III,IL,1,Republican,2018,NA,H6IL01175,NA
Robert Emmons Jr.,IL,1,Democrat,2020,-1.749939503,H0IL01178,NA
Sarah Gad,IL,1,Democrat,2020,-1.126497862,H0IL01186,NA
Ameena Matthews,IL,1,Democrat,2020,-0.974756123,H0IL01210,NA
Bobby L Rush,IL,1,Democrat,2020,-0.425038497,H2IL01042,R000515
Philanise White,IL,1,Republican,2020,0.558158359,H0IL01194,NA
Ameena Matthews,IL,1,Democrat,2022,-1.254902986,H0IL01210,NA
Cassandra Goodrum,IL,1,Democrat,2022,-1.257862774,H2IL01265,NA
Charise Williams,IL,1,Democrat,2022,-1.007529351,H2IL01372,NA
Chris Butler,IL,1,Democrat,2022,-0.606517572,H2IL01232,NA
Eric Carlson,IL,1,Republican,2022,0.262018068,H2IL01323,NA
Geno Young,IL,1,Republican,2022,1.169279107,H2IL16115,NA
Jacqui Collins,IL,1,Democrat,2022,NA,H2IL01315,NA
Jahmal Cole,IL,1,Democrat,2022,-1.393124023,H2IL01208,NA
Jeff Regnier,IL,1,Republican,2022,NA,H2IL01398,NA
Jonathan Jackson,IL,1,Democrat,2022,-0.896018324,H2IL01349,J000309
Jonathan Swain,IL,1,Democrat,2022,NA,H2IL01331,NA
Karin Norrington-Reaves,IL,1,Democrat,2022,-0.707949169,H2IL01364,NA
Kirby Birgans,IL,1,Democrat,2022,-1.23954297,H2IL01216,NA
Marcus Lewis,IL,1,Democrat,2022,NA,NA,NA
Michael Thompson,IL,1,Democrat,2022,-1.322419624,H2IL01224,NA
Nykea Pippion McGriff,IL,1,Democrat,2022,NA,H2IL01380,NA
Pat Dowell,IL,1,Democrat,2022,-0.770296498,H2IL01281,NA
Philanise White,IL,1,Republican,2022,0.127837557,H0IL01194,NA
Robert Palmer,IL,1,Democrat,2022,NA,H2IL01430,NA
Steven DeJoie,IL,1,Democrat,2022,NA,H2IL01422,NA
Terre Laynge Rosner,IL,1,Democrat,2022,-0.181167263,H2IL01414,NA
Douglas Bennett,IL,10,Republican,2018,0.555251414,H8IL10115,NA
Aloys Rutagwibira,IL,10,Republican,2018,NA,H2IL10092,NA
Brad Schneider,IL,10,Democrat,2018,-0.200650125,H2IL10068,S001190
Sapan Shah,IL,10,Republican,2018,0.513502073,H8IL10131,NA
Jeremy Wynes,IL,10,Republican,2018,0.177543671,H8IL10123,NA
Adam Broad,IL,10,Democrat,2020,NA,H0IL10377,NA
Valerie Ramirez Mukherjee,IL,10,Republican,2020,NA,H0IL10351,NA
Brad Schneider,IL,10,Democrat,2020,-0.396824814,H2IL10068,S001190
Brad Schneider,IL,10,Democrat,2022,-0.440095029,H2IL10068,S001190
Joe Severino,IL,10,Republican,2022,1.07345266,H0IL10393,NA
Bill Foster,IL,11,Democrat,2018,-0.330064402,H8IL14067,F000454
Nick Stella,IL,11,Republican,2018,0.521630135,H6IL11133,NA
Connor Vlakancic,IL,11,Republican,2018,NA,H6IL18146,NA
Krishna K. Bansal,IL,11,Republican,2020,0.214008498,H0IL11128,NA
Bill Foster,IL,11,Democrat,2020,-0.535933818,H8IL14067,F000454
Rick Laib,IL,11,Republican,2020,NA,H0IL11110,NA
Rachel Ventura,IL,11,Democrat,2020,-0.944206087,H0IL11102,NA
Andrea Heeg,IL,11,Republican,2022,0.885368424,H2IL11165,NA
Bill Foster,IL,11,Democrat,2022,-0.378920202,H8IL14067,F000454
Cassandra Miller,IL,11,Republican,2022,0.43917289,H2IL11157,NA
Catalina Lauf,IL,11,Republican,2022,1.671938624,H2IL16107,NA
Jerry Evans,IL,11,Republican,2022,0.886161338,H2IL11173,NA
Mark Carroll,IL,11,Republican,2022,NA,H2IL11207,NA
Susan Hathaway Altman,IL,11,Republican,2022,0.571078747,H2IL11264,NA
David Bequette,IL,12,Democrat,2018,-0.410611413,H8IL12103,NA
Mike Bost,IL,12,Republican,2018,0.832059814,H4IL12060,B001295
Brendan Kelly,IL,12,Democrat,2018,-0.473554208,H8IL12129,NA
Preston Nelson,IL,12,Republican,2018,0.188739607,NA,NA
Mike Bost,IL,12,Republican,2020,0.857593295,H4IL12060,B001295
Joel Funk,IL,12,Democrat,2020,-0.619412706,H0IL12092,NA
Raymond Lenzi,IL,12,Democrat,2020,-1.032721294,H0IL12100,NA
Homer Markel,IL,12,Democrat,2022,-0.248342491,H2IL12197,NA
Joshua Qualls,IL,12,Democrat,2022,NA,NA,NA
Mike Bost,IL,12,Republican,2022,1.049647494,H4IL12060,B001295
Rodney Davis,IL,13,Republican,2018,0.488007365,H2IL13120,D000619
Jon Ebel,IL,13,Democrat,2018,-0.477611513,H8IL13176,NA
David Gill,IL,13,Democrat,2018,-0.722737288,H6IL13113,NA
Erik Jones,IL,13,Democrat,2018,NA,H8IL13168,NA
Betsy Dirksen Londrigan,IL,13,Democrat,2018,-1.110642301,H8IL13150,NA
Angel Sides,IL,13,Democrat,2018,NA,NA,NA
Rodney Davis,IL,13,Republican,2020,0.067187808,H2IL13120,D000619
Betsy Dirksen Londrigan,IL,13,Democrat,2020,NA,H8IL13150,NA
Stefanie Smith,IL,13,Democrat,2020,-1.105016893,H0IL13066,NA
David Palmer,IL,13,Democrat,2022,-0.565467567,H2IL13146,NA
Jesse Reising,IL,13,Republican,2022,NA,H2IL13161,NA
Matt Hausman,IL,13,Republican,2022,NA,H2IL13195,NA
Nikki Budzinski,IL,13,Democrat,2022,-0.984056186,H2IL13153,B001315
Regan Deering,IL,13,Republican,2022,0.78718584,H2IL13179,NA
Terry Martin,IL,13,Republican,2022,0.170241855,H2IL13203,NA
Matthew Brolley,IL,14,Democrat,2018,-0.678367233,H8IL14166,NA
John Hosta,IL,14,Democrat,2018,0.192303433,H4IL14124,NA
Randy Hultgren,IL,14,Republican,2018,0.106563038,H0IL14080,NA
Daniel Roldan-Johnson,IL,14,Democrat,2018,-0.533304624,NA,NA
Victor Swanson,IL,14,Democrat,2018,0.07665843,H8IL14141,NA
Lauren Underwood,IL,14,Democrat,2018,-0.714039345,H8IL14174,U000040
Jim Walz,IL,14,Democrat,2018,-0.734180354,H6IL14129,NA
George Weber,IL,14,Democrat,2018,-0.595484099,H8IL14158,NA
Anthony Catella,IL,14,Republican,2020,NA,H0IL14205,NA
Jerry Evans,IL,14,Republican,2020,1.230275394,H0IL14213,NA
Ted Gradel,IL,14,Republican,2020,1.088394974,H0IL14163,NA
Catalina Lauf,IL,14,Republican,2020,1.046588947,H0IL14197,NA
Jim Marter,IL,14,Republican,2020,1.534563646,H8IL16153,NA
Jim Oberweis,IL,14,Republican,2020,0.951622819,H8IL14083,NA
Sue Rezin,IL,14,Republican,2020,0.39280512,H0IL14189,NA
Lauren Underwood,IL,14,Democrat,2020,-0.800726288,H8IL14174,U000040
Jack Lombardi,IL,14,Republican,2022,1.423905351,H2IL16081,NA
Jamie Milton,IL,14,Republican,2022,0.554071665,H2IL14136,NA
Jim Marter,IL,14,Republican,2022,1.382964757,H8IL16153,NA
Lauren Underwood,IL,14,Democrat,2022,-0.756592033,H8IL14174,U000040
Mike Koolidge,IL,14,Republican,2022,1.260251825,H2IL14094,NA
Scott Gryder,IL,14,Republican,2022,0.751566298,H2IL14102,NA
Kevin Gaither,IL,15,Democrat,2018,-0.695218187,H8IL15072,NA
John Shimkus,IL,15,Republican,2018,1.430386759,H2IL20042,S000364
Carl Spoerer,IL,15,Democrat,2018,-0.765745289,H8IL15056,NA
Darren E. Duncan,IL,15,Republican,2020,0.339747376,H0IL15186,NA
Chuck Ellington,IL,15,Republican,2020,0.633277702,H0IL15202,NA
Kevin Gaither,IL,15,Democrat,2020,-0.229911834,H8IL15072,NA
John Hursey Jr.,IL,15,Democrat,2020,NA,H0IL15095,NA
Mary Miller,IL,15,Republican,2020,1.432635155,H0IL15129,M001211
Craig Morton,IL,15,Democrat,2020,-0.167177062,H0IL15210,NA
Erika Weaver,IL,15,Democrat,2020,-1.18103208,H0IL15194,NA
Kerry A. Wolff,IL,15,Republican,2020,1.202337684,H0IL15145,NA
Mary Miller,IL,15,Republican,2022,NA,H0IL15129,M001211
Paul Lange,IL,15,Democrat,2022,NA,H2IL15109,NA
Rodney Davis,IL,15,Republican,2022,0.72110399,H2IL13120,NA
Murri Briel,IL,16,Democrat,2018,-0.806835751,H8IL16146,NA
Sara Dady,IL,16,Democrat,2018,-1.167184331,H8IL16120,NA
